route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,APSRTC - 47143,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),23:00,07h 05m,6:05,4.2,INR 1091,46
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,APSRTC - 5663,Super Luxury (Non AC Seater 2+2 Push Back),23:15,07h 45m,7:00,3.4,INR 678,33
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,APSRTC - 9198,Super Luxury (Non AC Seater 2+2 Push Back),23:30,07h 50m,7:20,3,INR 678,30
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,APSRTC - 5442,VENNELA (A.C. SLEEPER),23:55,06h 30m,6:25,3.5,INR 1271,24
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,APSRTC - 5418,VENNELA (A.C. SLEEPER),23:55,06h 40m,6:35,3.7,INR 1271,22
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,KNR TRAVELS,Non A/C Seater / Sleeper (2+1),21:42,08h 13m,5:55,4.6,INR 500,22
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,Sri Vinayaka Travels,NON A/C Seater/ Sleeper (2+1),21:35,08h 23m,5:58,4.5,INR 499,24
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,Jagan Travels,Non A/C Seater / Sleeper (2+1),21:45,07h 53m,5:38,4.4,INR 540,26
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,AdAR & BCVR Travels,Non A/C Seater / Sleeper (2+1),21:45,07h 05m,4:50,4.2,INR 600,34
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,CGR Travels,Non A/C Seater / Sleeper (2+1),23:00,07h 40m,6:40,4.4,INR 600,17
